"num, pam, mse"
0.0,0.0,0.0
1.0,0.10000000000000001,1045.6703781079818
1.0,0.14999999999999999,847.87425598960908
1.0,0.20000000000000001,703.55862968980716
1.0,0.25,598.69129671009887
1.0,0.29999999999999999,523.10396625963608
1.0,0.34999999999999998,469.3697362527281
1.0,0.40000000000000002,432.02728398226498
1.0,0.45000000000000001,407.03943624582774
1.0,0.5,391.41233461127842
1.0,0.55000000000000004,382.92620229073634
1.0,0.59999999999999998,379.9450872798102
1.0,0.65000000000000002,381.28398541375509
1.0,0.69999999999999996,386.11961279635148
1.0,0.75,393.93730518692587
1.0,0.80000000000000004,404.51254491560178
1.0,0.84999999999999998,417.93352401452489
1.0,0.90000000000000002,434.6851682832455
2.0,0.34999999999999998,791.27857446640508
2.0,0.65000000000000002,883.21101079320567
2.0,0.84999999999999998,1030.5518319043297
4.0,0.10000000000000001,906.00343247456271
4.0,0.14999999999999999,720.55817007312692
4.0,0.20000000000000001,600.04769358141061
4.0,0.25,520.21425577964828
4.0,0.29999999999999999,466.85890569171477
4.0,0.34999999999999998,431.29570159427954
4.0,0.40000000000000002,408.01800442850731
4.0,0.45000000000000001,393.43341197175897
4.0,0.5,385.14671834465702
4.0,0.55000000000000004,381.53871816298425
4.0,0.59999999999999998,381.51247428528302
4.0,0.65000000000000002,384.33927792388954
4.0,0.69999999999999996,389.56828451023887
4.0,0.75,396.98234569146598
4.0,0.80000000000000004,406.59654918626245
4.0,0.84999999999999998,418.7133851117224
4.0,0.90000000000000002,434.08598871444093
5.0,0.90000000000000002,392.96865079132931
5.0,0.84999999999999998,393.08079724903337
5.0,0.80000000000000004,393.20758444222878
5.0,0.75,393.35204218191126
5.0,0.69999999999999996,393.51808775853709
5.0,0.65000000000000002,393.71087287426025
5.0,0.59999999999999998,393.93730518940276
5.0,0.55000000000000004,394.20685577598738
5.0,0.5,394.53285147774204
5.0,0.45000000000000001,394.93462555671312
5.0,0.40000000000000002,395.4412649644633
5.0,0.34999999999999998,396.09850999274045
5.0,0.29999999999999999,396.98234569121922
5.0,0.25,398.2281477338488
5.0,0.20000000000000001,400.10049343998764
5.0,0.14999999999999999,403.18773179047679
5.0,0.10000000000000001,409.08079119087074
7.0,0.90000000000000002,631.52426841137049
7.0,0.84999999999999998,627.48341563315455
7.0,0.80000000000000004,622.99417703907477
7.0,0.75,617.97906963443609
7.0,0.69999999999999996,612.34216009215402
7.0,0.65000000000000002,605.96346509441344
7.0,0.59999999999999998,598.6912967101598
7.0,0.55000000000000004,590.33175067871503
7.0,0.5,580.6342530415518
7.0,0.45000000000000001,569.27185336201956
7.0,0.40000000000000002,555.81531556037453
7.0,0.34999999999999998,539.70245725503128
7.0,0.29999999999999999,520.21425577971718
7.0,0.25,496.50545205984849
7.0,0.20000000000000001,467.86464177085992
7.0,0.14999999999999999,434.81562949154386
7.0,0.10000000000000001,403.01398976723834
8.0,0.84999999999999998,615.33756175334076
8.0,0.75,615.45212597591444
8.0,0.69999999999999996,615.5226077216148
8.0,0.65000000000000002,615.60482943442071
8.0,0.59999999999999998,615.7020013443439
8.0,0.55000000000000004,615.81861966191684
8.0,0.5,615.96117779003464
8.0,0.45000000000000001,616.13940194498696
8.0,0.40000000000000002,616.3685180560409
8.0,0.34999999999999998,616.6736896257604
8.0,0.29999999999999999,617.09942876268474
8.0,0.25,617.73164675268242
8.0,0.20000000000000001,618.75633284199273
8.0,0.14999999999999999,620.64402370647076
8.0,0.10000000000000001,624.87506387123631
9.0,0.90000000000000002,355.28054277731366
9.0,0.84999999999999998,341.53050801644736
9.0,0.80000000000000004,365.04500315516322
9.0,0.75,393.93730518882944
9.0,0.69999999999999996,425.26545343877245
9.0,0.65000000000000002,459.10387875637269
9.0,0.59999999999999998,495.96319044615655
9.0,0.55000000000000004,536.44917602311784
9.0,0.5,581.27837575588137
9.0,0.45000000000000001,631.40632205484599
9.0,0.40000000000000002,688.2879107250119
10.0,0.80000000000000004,954.46196060602279
10.0,0.75,598.69129671025678
10.0,0.69999999999999996,497.2321594157803
10.0,0.65000000000000002,473.42766126319475
10.0,0.59999999999999998,480.62024575413301
10.0,0.55000000000000004,503.08564267030869
10.0,0.5,534.62631775040745
10.0,0.45000000000000001,572.55834539720331
10.0,0.40000000000000002,615.70200133892092
11.0,0.90000000000000002,337.51453810960965
11.0,0.84999999999999998,344.16822839239069
11.0,0.80000000000000004,368.7515673407338
11.0,0.75,396.98234569172126
11.0,0.69999999999999996,427.57752890762293
11.0,0.65000000000000002,460.78583282690056
11.0,0.59999999999999998,497.08162843270134
11.0,0.55000000000000004,536.99721574978582
11.0,0.5,581.15569261162318
11.0,0.45000000000000001,630.37849206275496
11.0,0.40000000000000002,685.89061392077053
11.0,0.34999999999999998,749.7458282931342
12.0,0.80000000000000004,718.63901108706807
12.0,0.75,520.21425577953664
12.0,0.69999999999999996,465.09291363262344
12.0,0.65000000000000002,458.78298728357174
12.0,0.59999999999999998,473.76332713337405
12.0,0.55000000000000004,500.1411226161369
12.0,0.5,533.84999057497839
12.0,0.45000000000000001,573.09366081335668
12.0,0.40000000000000002,617.09942876270497
